study,year,location,state,cultivar,data_sowing,group,active_ingredient,n,sev_check,inc_check,index_check,yld_check,region,mean_sev,mean_inc,mean_yld,vi_yld
1,2012,Dourados,MS,BRS 208,16/03/2012,check,AACHECK,4,73.575,93.3,68.653275,1097,North,73.575,93.3,1097,11157.42949
1,2012,Dourados,MS,BRS 208,16/03/2012,DMI,TEBU,4,73.575,93.3,68.653275,1097,North,53.1,67.8,1528,11157.42949
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,AZOX+TEBU,4,73.575,93.3,68.653275,1097,North,56.5375,73.75,1340,11157.42949
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,PYRA+EPOX,4,73.575,93.3,68.653275,1097,North,62.4,80.0375,1315,11157.42949
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,TFLX+PROT,4,73.575,93.3,68.653275,1097,North,68.55,84.4,1242,11157.42949
1,2012,Dourados,MS,BRS 208,16/03/2012,QoI+DMI,TFLX+TEBU,4,73.575,93.3,68.653275,1097,North,62.6,77.075,1450,11157.42949
2,2012,Palotina,PR,BRS 208,15/04/2012,check,AACHECK,4,28.64,40.5,11.72585,1219.375,South,28.64,40.5,1219.375,7298.315099
2,2012,Palotina,PR,BRS 208,15/04/2012,DMI,TEBU,4,28.64,40.5,11.72585,1219.375,South,18.06,41.5,1570.835,7298.315099
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,AZOX+TEBU,4,28.64,40.5,11.72585,1219.375,South,12.22875,46.75,1555.52125,7298.315099
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,PYRA+EPOX,4,28.64,40.5,11.72585,1219.375,South,16.56375,32.5,1553.5425,7298.315099
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,TFLX+PROT,4,28.64,40.5,11.72585,1219.375,South,10.6675,55.5,1731.4575,7298.315099
2,2012,Palotina,PR,BRS 208,15/04/2012,QoI+DMI,TFLX+TEBU,4,28.64,40.5,11.72585,1219.375,South,17.945,40.25,1540.0825,7298.315099
3,2012,Londrina,PR,MARFIM,7/4/2012,check,AACHECK,4,92.8625,100,92.8625,495.1225,South,92.8625,100,495.1225,2706.824202
3,2012,Londrina,PR,MARFIM,7/4/2012,DMI,TEBU,4,92.8625,100,92.8625,495.1225,South,57.2375,78.25,1022.31,2706.824202
3,2012,Londrina,PR,MARFIM,7/4/2012,QoI+DMI,AZOX+TEBU,4,92.8625,100,92.8625,495.1225,South,58.59375,81.375,985.27,2706.824202
3,2012,Londrina,PR,MARFIM,7/4/2012,QoI+DMI,PYRA+EPOX,4,92.8625,100,92.8625,495.1225,South,75.6625,91.125,732.31875,2706.824202
3,2012,Londrina,PR,MARFIM,7/4/2012,QoI+DMI,TFLX+PROT,4,92.8625,100,92.8625,495.1225,South,60.025,89,885.4,2706.824202
3,2012,Londrina,PR,MARFIM,7/4/2012,QoI+DMI,TFLX+TEBU,4,92.8625,100,92.8625,495.1225,South,52.9875,70.5,933.99,2706.824202
4,2012,Planaltina,DF,BRS 208,9/3/2012,check,AACHECK,4,16.05,35.5,6.3645,1747.4375,North,16.05,35.5,1747.4375,45813.49656
4,2012,Planaltina,DF,BRS 208,9/3/2012,DMI,TEBU,4,16.05,35.5,6.3645,1747.4375,North,8.05,19.25,2191.625,45813.49656
4,2012,Planaltina,DF,BRS 208,9/3/2012,QoI+DMI,AZOX+TEBU,4,16.05,35.5,6.3645,1747.4375,North,8.875,21,2073.4375,45813.49656
4,2012,Planaltina,DF,BRS 208,9/3/2012,QoI+DMI,PYRA+EPOX,4,16.05,35.5,6.3645,1747.4375,North,14.9,32.75,1885.875,45813.49656
4,2012,Planaltina,DF,BRS 208,9/3/2012,QoI+DMI,TFLX+PROT,4,16.05,35.5,6.3645,1747.4375,North,12.725,25.75,2007.9375,45813.49656
4,2012,Planaltina,DF,BRS 208,9/3/2012,QoI+DMI,TFLX+TEBU,4,16.05,35.5,6.3645,1747.4375,North,9.5,18.5,2279.375,45813.49656
5,2012,Itabera,SP,BRS 208,20/02/2012,check,AACHECK,4,4.48,7.7125,0.35126025,2148.3075,South,4.48,7.7125,2148.3075,43719.75979
5,2012,Itabera,SP,BRS 208,20/02/2012,DMI,TEBU,4,4.48,7.7125,0.35126025,2148.3075,South,3.28,5.05,2579.27,43719.75979
5,2012,Itabera,SP,BRS 208,20/02/2012,QoI+DMI,AZOX+TEBU,4,4.48,7.7125,0.35126025,2148.3075,South,2.4725,4.2525,2585.665,43719.75979
5,2012,Itabera,SP,BRS 208,20/02/2012,QoI+DMI,PYRA+EPOX,4,4.48,7.7125,0.35126025,2148.3075,South,2.29375,3.74625,2479.1575,43719.75979
5,2012,Itabera,SP,BRS 208,20/02/2012,QoI+DMI,TFLX+PROT,4,4.48,7.7125,0.35126025,2148.3075,South,2.78,4.7475,2482.5925,43719.75979
5,2012,Itabera,SP,BRS 208,20/02/2012,QoI+DMI,TFLX+TEBU,4,4.48,7.7125,0.35126025,2148.3075,South,2.2025,3.5575,2660.9625,43719.75979
